hour,minute,online
0,0,31
0,10,31
0,20,32
0,30,30
0,40,30
0,50,29
1,0,30
1,10,34
1,20,29
1,30,29
1,40,28
1,50,28
2,0,25
2,10,26
2,20,26
2,30,25
2,39,24
2,50,24
3,0,22
3,10,22
3,20,22
3,30,22
3,40,22
3,50,22
4,0,21
4,10,21
4,20,19
4,30,19
4,40,19
4,50,18
5,0,18
5,10,18
5,20,18
5,30,18
5,40,18
5,50,18
6,0,18
6,10,18
6,20,18
6,30,18
6,40,18
6,50,18
7,0,19
7,10,19
7,20,20
7,30,19
7,40,19
7,50,21
8,0,20
8,10,21
8,20,21
8,30,21
8,40,20
8,50,21
9,0,21
9,10,22
9,20,20
9,30,20
9,40,20
9,50,20
10,0,20
10,10,20
10,20,20
10,30,20
10,40,20
10,49,21
11,0,22
11,10,21
11,20,22
11,30,23
11,40,23
11,50,20
12,0,21
12,10,21
12,20,22
12,30,22
12,40,22
12,50,22
13,0,23
13,10,24
13,20,23
13,30,23
13,40,22
13,50,22
14,0,22
14,10,21
14,20,22
14,30,19
14,40,18
14,50,18
15,0,18
15,10,17
15,20,17
15,30,17
15,40,17
15,50,17
16,0,18
16,10,18
16,20,17
16,30,18
16,40,18
16,50,21
17,0,20
17,10,20
17,20,21
17,30,21
17,40,18
17,50,17
18,0,19
18,10,20
18,20,21
18,30,20
18,40,23
18,50,24
19,0,24
